=== CARTES ===
ID,Numero,Type,Date_Expiration,ID_Client,Statut,Details
14,2615531883442345,CARTEPREPAYEE,2028-09-29,1,ACTIVE,Solde:1696962.0
15,155,CARTEDEBIT,2028-02-02,70,ACTIVE,Plafond_Journalier:0.0
50,7742693333427974,CARTEDEBIT,2035-10-04,70,ACTIVE,Plafond_Journalier:15000.0
166,6753235820425995,CARTEDEBIT,2030-01-01,1,ACTIVE,Plafond_Journalier:1200.0
800,8234983469395484,CARTECREDIT,2035-10-04,70,ACTIVE,Plafond_Mensuel:474444.0|Taux:7.0

=== OPERATIONS ===
ID,Date_Operation,Montant,Type_Operation,Lieu,ID_Carte
1,2025-10-01 10:59:56,12.0,PAIEMENTENLIGNE,morocco,14
2,2025-10-01 11:02:02,122.0,PAIEMENTENLIGNE,morocco,14
3,2025-10-03 18:38:18,1500.0,PAIEMENTENLIGNE,morocco,14
4,2025-10-03 18:43:29,1500.0,RETRAIT,morocco,14
5,2025-10-03 18:57:18,15000.0,PAIEMENTENLIGNE,brazil,14
6,2025-10-03 18:59:06,8000.0,PAIEMENTENLIGNE,colombia,14
7,2025-10-03 19:05:55,15000.0,PAIEMENTENLIGNE,brazil,14
8,2025-10-03 19:13:22,8007.0,ACHAT,tanger,14
9,2025-10-03 19:14:10,8008.0,RETRAIT,hunter,14
10,2025-10-03 19:17:16,8002.0,PAIEMENTENLIGNE,mmmmmm,14
11,2025-10-03 19:17:53,8006.0,PAIEMENTENLIGNE,kkkkkkkkkkkk,14
12,2025-10-03 19:32:53,8000.0,PAIEMENTENLIGNE,maroc,14
13,2025-10-03 19:33:39,200000.0,PAIEMENTENLIGNE,casa,14
14,2025-10-03 19:38:29,20000.0,PAIEMENTENLIGNE,casa,14
15,2025-10-03 19:48:29,20015.0,PAIEMENTENLIGNE,mmmmmm,14

Montant_Total_Operations,321172.0
Operation_Max,200000.0
Operation_Min,12.0
